y_true,y_hat,ops
0.431,0.393,358711
0.431,0.397,358754
0.431,0.463,359017
0.431,0.396,359033
0.431,0.393,359068
0.431,0.395,359122
0.431,0.398,359289
0.431,0.393,359394
0.431,0.393,359459
0.431,0.395,359556
0.431,0.399,359661
0.431,0.393,359726
0.431,0.396,359734
0.431,0.412,359751
0.431,0.398,359777
0.431,0.393,359866
0.431,0.395,360147
0.431,0.401,360244
0.431,0.394,360414
0.431,0.399,360449
0.431,0.396,360465
0.431,0.401,360481
0.431,0.393,360490
0.431,0.395,360686
0.431,0.397,360767
0.431,0.393,360783
0.431,0.394,360813
0.431,0.393,360961
0.431,0.392,361011
0.431,0.393,361038
0.431,0.397,361518
0.431,0.393,361569
0.431,0.393,361593
0.431,0.395,361615
0.431,0.398,361712
0.431,0.394,361721
0.431,0.393,361780
0.431,0.393,361836
0.431,0.396,361852
0.431,0.398,361941
0.431,0.398,362026
0.431,0.394,362140
0.431,0.393,362182
0.431,0.393,362352
0.431,0.393,362387
0.431,0.399,362573
0.431,0.396,362620
0.431,0.395,362735
0.431,0.393,362824
0.431,0.395,362832
0.431,0.392,362921
0.431,0.393,363111
0.431,0.393,363120
0.431,0.393,363171
0.431,0.397,363189
0.431,0.4,363286
0.431,0.393,363391
0.431,0.396,363413
0.431,0.394,363511
0.627,0.398,363600
0.431,0.397,363677
0.431,0.395,363685
0.431,0.395,363766
0.431,0.397,363774
0.431,0.393,363782
0.431,0.399,363855
0.431,0.402,363944
0.431,0.397,364070
0.627,0.399,364096
0.431,0.4,364312
0.431,0.395,364428
0.431,0.396,364584
0.431,0.393,364592
0.431,0.393,364801
0.431,0.399,364860
0.431,0.395,364894
0.431,0.399,364916
0.431,0.394,364941
0.431,0.395,365238
0.431,0.399,365246
0.431,0.393,365297
0.431,0.397,365319
0.431,0.398,365351
0.431,0.396,365530
0.431,0.393,365599
0.431,0.393,365645
0.431,0.393,365718
0.431,0.394,365777
0.431,0.396,365785
0.431,0.399,365939
0.431,0.394,366064
0.431,0.394,366145
0.431,0.394,366307
0.431,0.394,366340
0.431,0.394,366439
0.431,0.393,366510
0.431,0.393,366552
0.431,0.394,366561
0.431,0.395,366811
0.431,0.399,366871
0.431,0.393,366978
0.431,0.392,367087
0.431,0.393,367095
0.431,0.393,367176
